city_id,city_name,country_code,latitude,longitude,existing_timezone,calculated_timezone,assignment_method,confidence,review_status,reason
42394,Hiersac,FR,45.66667,0,Europe/Paris,,unresolved,unresolved,needs_coordinates,
42469,Ibos,FR,43.23333,0,Europe/Paris,,unresolved,unresolved,needs_coordinates,
46550,Saint-Seurin-sur-l’Isle,FR,45.01667,0,Europe/Paris,,unresolved,unresolved,needs_coordinates,
51341,Somersham,GB,52.38333,0,Europe/London,,unresolved,unresolved,needs_coordinates,
154636,Maseno,KE,0,34.6,Africa/Nairobi,,unresolved,unresolved,needs_coordinates,
157515,Lungchuan,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157533,Dongbu,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157656,Chengqu,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157658,Directly,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157823,Daicheng,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157850,Binxian,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157906,Durbote,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157958,Jiagedaqi,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157959,Songling,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157960,Xinlin,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
157961,Huzhong,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
158123,Directly,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
158214,Suixian,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
158224,Directly,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
158228,Shennongjia Forestry,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
158301,Nanxian,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
158320,Daoxian,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
158594,Qianguorluosi,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
158751,Chengduo,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
159154,Dongqu,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
159801,Simong,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
159820,Sogxian,CN,0,0,Asia/Shanghai,,unresolved,unresolved,needs_coordinates,SUSPICIOUS_ZERO_COORDINATES
